Id,cross_id,tgraph_id
021939,"[r31231,r31461]|[r31230,r37319]",21939
021517,"[r30854]|[r30846,r31869]",21517
023188,"[r32773]|[r32774,r39944]",23188
025698,[r36458]|[r50138],25698
025699,[r50139]|[r36459],25699
032960,"[r46563,r46589,r46599]|[r46562,r46590,r46598]",32960
033000,"[r46609,r46689,r48419]|[r46608,r46690,r48420]",33000
034073,[r48415]|[r48417],34073
034074,[r48418]|[r48416],34074
032878,[r46499]|[r46503],32878
032879,[r46504]|[r46500],32879
032881,[r46730]|[r46501],32881
032883,[r46502]|[r46731],32883
049165,[r72474]|[r70973],49165
049168,[r70974]|[r72473],49168
034323,[r48909]|[r48911],34323
034324,[r48912]|[r48910],34324
034948,"[r50138,r50141,r50143]|[r50139,r50140,r50142]",34948
054341,"[r77689]|[r77688,r77692]",54341
054340,"[r77686,r77687]|[r77685]",54340
050040,"[r71773,r77691,r77692]|[r71772,r77686,r77690]",50040
034083,"[r48438,r48440]|[r48439,r48441]",34083
029883,[r42272]|[r42271],29883
027939,[r46479]|[r40306],27939
027938,[r40305]|[r46480],27938
030526,[r43151]|[r43152],30526
030760,"[r43450,r43452]|[r43451,r43453]",30760
028598,"[r40894,r40898]|[r40897,r40903]",28598
032949,"[r46671,r46809]|[r46554,r46670]",32949
029797,"[r42180,r50027]|[r42179,r42181]",29797
030524,"[r43150,r43856]|[r43149]",30524
029374,"[r42179]|[r41677,r43855]",29374
033158,[r46905]|[r46903],33158
033157,[r46902]|[r46904],33157
030214,"[r42726,r42755]|[r42756]",30214
030237,"[r42753,r42754]|[r42752,r42755]",30237
032153,"[r45471,r45475]|[r45469,r45474]",32153
032154,"[r48925]|[r45470,r45473]",32154
031167,[r49018]|[r44000],31167
028592,[r40890]|[r40888],28592
028593,[r40889]|[r40891],28593
028562,[r44945]|[r40863],28562
028561,[r40862]|[r44944],28561
032161,[r45480]|[r45482],32161
032162,[r45483]|[r45481],32162
029704,"[r42042,r42044]|[r42041,r42043]",29704
029377,"[r41684,r42043]|[r41683,r42044]",29377
034336,[r49709]|[r48936],34336
032180,[r45513]|[r48459],32180
032181,[r48458]|[r45514],32181
029074,[r49712]|[r41331],29074
030804,[r43527]|[r50041],30804
032057,[r45277]|[r45503],32057
032058,[r45504]|[r45278],32058
030360,[r42926]|[r43863],30360
034746,"[r49702,r49705]|[r49701,r49703]",34746
027793,[r46930]|[r40195],27793
027795,[r40196]|[r46931],27795
029970,[r42395]|[],29970
029971,[]|[r42396],29971
027834,[r43864]|[r40225],27834
027931,"[r50039,r50166]|[r40297,r50167]",27931
031087,[r45510]|[r43875],31087
031086,[r43874]|[r45509],31086
031091,[r45508]|[r43879],31091
031090,[r43878]|[r45507],31090
028318,"[r40646,r46952,r46955]|[r40647,r46953,r46954]",28318
029870,"[r42250]|[r42251,r42254]",29870
029369,"[r41661,r42054,r42249]|[r41662,r42754,r48926]",29369
034084,[r48442]|[r48444],34084
034085,[r48445]|[r48443],34085
028466,[r42177]|[r40777],28466
030110,"[r42568,r42570,r48439]|[r42566,r42569,r42571]",30110
034079,"[r48431,r48435]|[r48432,r48436]",34079
034082,[r48436]|[r48437],34082
034075,"[r48420,r48908]|[r48419,r48422]",34075
022942,"[r37308]|[r32395,r32465]",22942
025709,[r36469]|[r46725],25709
025708,[r46724]|[r36468],25708
021504,"[r30834,r33900,r34672]|[r30833,r33901,r34673]",21504
026217,"[r37313,r37316,r37317]|[r37314,r37315,r37318]",26217
021488,"[r30817,r30819,r32115]|[r30818,r30820,r32114]",21488
